Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Descripcion_Psicologica
5,3,3,3,2,2,3,4,3,4,"Discreto, Creativo, Intelectual"
3,3,2,3,3,3,4,4,3,3,"Desconfiado, Competitivo, Minucioso, Eficiente"
1,4,2,4,4,4,2,4,2,3,"Entusiasta, Empático, Fiable, Eficiente, Estable emocionalmente, Seguro, Pies en la tierra"
2,3,1,4,1,4,3,5,2,5,"Extrovertido, Sociable, Eficiente, Fiable, Estable emocionalmente, Intelectual, Original"
3,3,2,3,3,3,4,4,2,2,"Franco, Directo, Eficiente, Fiable, Relajado, Sereno, Tradicional"
1,4,2,5,1,5,2,4,1,4,"Energético, Compasivo, Disciplinado, Seguro, Resiliente, No convencional, Creativo"
5,2,4,5,4,1,4,2,1,1,"Discreto, Reservado, Desconfiado, Escéptico, Espontáneo, Desorganizado, Calmado, Pragmático"
4,1,3,4,2,2,4,4,3,4,"Reflexivo, Introvertido, Franco, Sereno, Seguro, Intelectual, Creativo"
2,4,2,4,3,4,2,4,2,3,"Sociable, Amable, Conciliador, Eficiente, Minucioso, Calmado, Seguro"
2,5,4,3,1,3,1,3,3,5,"Confiado, Cooperador, Impulsivo, Desorganizado, Imaginativo, Intelectual"
4,3,2,4,2,2,3,3,3,4,"Distante, Introvertido, Calmado, Seguro, Creativo, No convencional"
1,4,1,5,1,4,2,5,2,5,"Hablador, Cooperador, Conciliador, Minucioso, Disciplinado, Sereno, No convencional, Imaginativo"
2,3,3,5,2,4,4,4,1,4,"Hablador, Directo, Desconfiado, Relajado, Seguro, Creativo, Original"
1,3,1,5,3,5,2,5,1,3,"Sociable, Eficiente, Disciplinado, Seguro"
4,3,4,3,3,2,3,3,3,2,"Reflexivo, Desorganizado, Descuidado, Convencional"
4,3,3,2,2,1,3,2,5,4,"Distante, Relajado, Ansioso, Temperamental, No convencional"
4,3,3,3,1,2,4,3,2,5,"Introvertido, Distante, Competitivo, Crítico, Relajado, Estable emocionalmente, Imaginativo"
3,3,5,2,1,3,4,1,3,4,"Escéptico, Relajado, Curioso"
5,5,1,3,3,2,2,5,3,3,"Reflexivo, Cooperador, Conciliador, Eficiente"
4,4,2,1,3,2,3,4,4,3,"Discreto, Introvertido, Organizado, Planificador, Ansioso, Temperamental"
3,2,2,4,1,2,4,4,1,4,"Distante, Desconfiado, Minucioso, Estable emocionalmente, Imaginativo, Creativo"
4,3,3,2,2,2,2,4,4,4,"Reservado, Distante, Preocupado, Temperamental, Original"
4,3,3,4,2,2,4,3,3,4,"Discreto, Reservado, Franco, Directo, Relajado, Creativo"
4,4,3,4,2,2,2,3,3,3,"Introvertido, Distante, Compasivo, Amable, Calmado, Relajado"
3,3,3,3,5,3,2,3,4,2,Tradicional
2,4,3,1,2,4,3,3,5,4,"Sociable, Extrovertido, Inseguro, Creativo"
3,3,3,5,3,2,4,3,1,4,"Distante, Callado, Directo, Relajado, Sereno"
1,4,3,4,1,5,2,3,2,4,"Asertivo, Amable, Sereno, Imaginativo, No convencional"
3,4,3,3,1,3,1,3,4,4,"Cooperador, Creativo"
2,3,3,5,3,3,2,3,2,4,Sereno
3,3,3,5,2,3,3,4,1,4,"Relajado, No convencional, Intelectual"
1,3,3,2,4,4,3,3,3,3,"Sociable, Hablador, Práctico, Tradicional"
3,4,2,2,2,3,2,3,4,4,"Amable, Compasivo, Sensible al estrés, Inseguro, No convencional, Intelectual"
4,5,3,3,4,2,1,2,3,3,"Introvertido, Reservado, Conciliador, Relajado, Pragmático, Pies en la tierra"
3,5,2,5,1,3,2,5,1,4,"Amable, Planificador, Minucioso, Resiliente, Sereno, Intelectual"
2,3,4,5,2,3,3,3,1,4,"Espontáneo, Estable emocionalmente, Relajado, Imaginativo, No convencional"
2,4,2,4,2,4,2,4,2,4,"Extrovertido, Compasivo, Amable, Disciplinado, Organizado, Calmado, Seguro, Curioso, Original"
5,4,1,3,4,1,2,5,3,2,"Callado, Empático, Conciliador, Eficiente, Organizado, Convencional"
2,5,1,3,3,4,1,4,2,3,"Sociable, Energético, Amable, Cooperador, Eficiente, Disciplinado, Relajado, Seguro"
2,3,3,5,3,4,3,3,1,3,"Sociable, Seguro"
1,4,1,5,1,5,3,5,1,5,"Extrovertido, Eficiente, Planificador, Calmado, Intelectual"
4,4,1,3,2,2,2,5,3,3,"Discreto, Cooperador, Conciliador, Fiable"
4,4,3,2,4,2,2,3,4,3,"Reflexivo, Introvertido, Empático, Compasivo, Sensible al estrés, Realista"
4,3,3,2,1,3,3,3,3,5,"Introvertido, Discreto, Imaginativo, Intelectual"
4,3,2,2,3,2,3,3,3,3,Discreto
3,5,3,2,3,3,1,3,4,3,"Compasivo, Ansioso"
4,3,4,5,4,3,3,3,2,3,"Callado, Distante, Desorganizado, Estable emocionalmente, Pragmático, Realista"
4,4,2,4,3,3,2,4,1,4,"Discreto, Compasivo, Amable, Planificador, Fiable, Calmado, Estable emocionalmente"
3,3,2,5,2,3,4,4,1,4,"Escéptico, Eficiente, Fiable, Estable emocionalmente, Original"
2,5,1,3,3,4,1,5,2,3,"Hablador, Energético, Cooperador, Conciliador, Organizado, Estable emocionalmente, Calmado"
3,3,1,4,2,3,3,4,3,3,"Organizado, Planificador, Relajado"
2,4,2,2,2,4,2,3,3,4,"Asertivo, Cooperador, Creativo, Curioso"
2,5,2,3,3,4,2,4,3,4,"Extrovertido, Hablador, Empático, Cooperador, Planificador, Disciplinado"
4,3,2,3,3,2,2,4,3,2,"Reservado, Fiable, Planificador, Práctico"
4,4,4,3,1,2,2,2,3,4,"Callado, Reflexivo, Empático, Cooperador, Espontáneo, Descuidado, No convencional"
3,4,4,2,2,3,2,3,3,4,"Conciliador, Flexible, Descuidado, Curioso"
3,5,3,5,2,4,1,4,1,4,"Cooperador, Resiliente, Curioso, Intelectual"
3,2,4,4,2,3,4,2,2,4,"Franco, Crítico, Descuidado, Impulsivo, Seguro, Calmado, Imaginativo, Curioso"
2,4,3,2,1,4,2,3,3,4,"Energético, Amable, No convencional, Original"
2,2,3,3,3,4,3,3,4,3,"Hablador, Entusiasta, Escéptico, Franco"
3,3,3,4,4,3,3,3,2,2,"Relajado, Tradicional"
3,3,4,3,3,3,4,2,2,3,"Crítico, Competitivo, Desorganizado, Estable emocionalmente"
